Date,Product,Units Sold,Revenue
2024-01-01,Product A,15,450
2024-01-01,Product B,30,600
2024-01-02,Product A,20,600
2024-01-02,Product C,10,250
2024-01-03,Product B,25,500
2024-01-03,Product A,18,540
2024-01-04,Product C,22,550
2024-01-04,Product B,10,200
2024-01-05,Product A,25,750
2024-01-05,Product C,15,375
2024-01-06,Product B,,500
2024-01-07,Product A,20,ABC
2024-01-08,Product B,15,450
2024-01-08,Product B,15,450
2024-01-09,Product C,8,220
2024-01-09,Product D,100,1200
2024-01-10,Product A,20,600
2024-01-10,Product C,30,300
2024-01-11,Product A,15,
2024-01-12,Product B,35,700
2024-01-13,,25,500
2024-01-14,Product C,22,550
2024-01-14,Product A,18,540
2024-01-15,Product D,50,800
2024-01-16,Product B,15,450
2024-01-16,Product C,10,200
2024-01-17,Product A,17,510
2024-01-18,Product B,25,ABC
2024-01-19,Product C,10,250
2024-01-19,Product A,20,500
2024-01-20,Product C,20,500
2024-01-20,Product A,25,750
2024-01-21,Product D,30,700
2024-01-22,Product B,10,200
2024-01-23,Product A,15,450
2024-01-23,Product A,15,450
2024-01-24,Product C,25,625
2024-01-25,Product A,15,450
2024-01-25,Product C,12,300
2024-01-26,Product B,20,400
2024-01-26,Product A,,600
2024-01-27,Product C,30,600
2024-01-28,Product B,20,500
2024-01-29,Product A,19,570
2024-01-30,Product C,,250
2024-01-31,Product D,35,1050
2024-02-01,Product B,15,350
2024-02-01,Product A,20,600
2024-02-02,Product C,18,540
2024-02-02,Product A,25,750
2024-02-03,Product B,25,625
2024-02-04,Product C,17,425
2024-02-05,Product A,20,ABC
2024-02-06,Product D,50,850
2024-02-07,Product B,10,200
2024-02-08,Product A,20,600
2024-02-09,Product C,8,240
2024-02-10,Product B,20,400
2024-02-11,Product C,15,450
2024-02-12,Product A,18,540
2024-02-13,Product B,22,660
2024-02-14,Product C,12,300
2024-02-15,Product A,30,900
2024-02-16,Product D,60,1200
2024-02-17,Product B,10,200
2024-02-18,Product C,17,425
2024-02-19,Product A,25,750
2024-02-20,Product B,20,500
2024-02-21,Product C,12,350
2024-02-22,Product D,50,1000
2024-02-23,Product B,18,540
2024-02-24,Product C,15,375
2024-02-25,Product A,20,600
2024-02-26,Product B,10,250
2024-02-27,Product A,18,540
2024-02-28,Product C,30,750
2024-02-29,Product D,50,1250
2024-03-01,Product A,10,ABC
2024-03-02,Product C,25,625
2024-03-03,Product B,22,550
2024-03-04,Product A,18,540
2024-03-05,Product C,30,750
2024-03-06,Product B,15,450
2024-03-07,Product A,20,600
2024-03-08,Product C,10,250
2024-03-09,Product D,60,1200
2024-03-10,Product B,10,200
2024-03-11,Product A,20,600
2024-03-12,Product C,30,750
2024-03-13,Product A,15,450
2024-03-14,Product C,25,625
2024-03-15,Product A,20,600
2024-03-16,Product D,50,1000
2024-03-17,Product B,25,625
2024-03-18,Product A,30,900
2024-03-19,Product C,20,500
2024-03-20,Product B,10,200
2024-03-21,Product A,15,450
2024-03-22,Product C,30,750
2024-03-23,Product B,18,540
2024-03-24,Product C,20,500
2024-03-25,Product D,50,1000
2024-03-26,Product A,10,300
2024-03-27,Product B,10,300
2024-03-28,Product A,25,750
2024-03-29,Product C,15,375
2024-03-30,Product B,15,450
2024-03-31,Product A,20,600
2024-04-01,Product D,50,1000
2024-04-02,Product A,20,600
2024-04-03,Product B,25,625
2024-04-04,Product A,15,450
2024-04-05,Product C,10,250
2024-04-06,Product A,25,750
2024-04-07,Product B,20,400
2024-04-08,Product C,30,750
2024-04-09,Product A,15,450
2024-04-10,Product C,18,450
2024-04-11,Product B,20,600
2024-04-12,Product A,10,200
2024-04-13,Product B,22,550
2024-04-14,Product C,12,300
2024-04-15,Product A,15,450
2024-04-16,Product B,20,500
2024-04-17,Product C,30,750
2024-04-18,Product D,60,1200
2024-04-19,Product A,20,600
2024-04-20,Product B,10,200
2024-04-21,Product C,25,625
2024-04-22,Product A,30,750
2024-04-23,Product B,25,625
2024-04-24,Product C,15,450
2024-04-25,Product A,18,540
2024-04-26,Product D,50,1000
2024-04-27,Product A,20,600
2024-04-28,Product B,10,200
2024-04-29,Product C,25,625
2024-04-30,Product A,20,600
2024-05-01,Product D,50,1000
2024-05-02,Product C,15,375
2024-05-03,Product B,10,200
2024-05-04,Product A,20,600
2024-05-05,Product C,25,625
2024-05-06,Product D,50,1000
2024-05-07,Product B,20,500
2024-05-08,Product C,20,500
2024-05-09,Product A,15,ABC
2024-05-10,Product B,15,450
2024-05-11,Product A,20,600
2024-05-12,Product C,10,250
2024-05-13,Product D,50,1000
2024-05-14,Product B,20,500
2024-05-15,Product A,20,600
